Mkt-RF_percent,SMB_percent,HML_percent,RMW_percent,CMA_percent,RF_percent,Mkt-RF,SMB,HML,RMW,CMA,RF
-2.33,-0.9,1.23,2.3,-0.3,0.02,-0.0233,-0.009,0.0123,0.023,-0.003,0.0002
0.83,-4.31,1.5,3.21,1.4,0.02,0.0083,-0.0431,0.015,0.0321,0.014,0.0002
4.25,-3.34,0.36,0.98,-0.31,0.02,0.0425,-0.0334,0.0036,0.0098,-0.0031,0.0002
0.62,0.26,-0.69,-0.08,-0.38,0.02,0.0062,0.0026,-0.0069,-0.0008,-0.0038,0.0002
-1.71,-2.44,2.11,3.05,0.58,0.02,-0.0171,-0.0244,0.0211,0.0305,0.0058,0.0002
1.95,-2.5,-0.39,0.3,-1.21,0.02,0.0195,-0.025,-0.0039,0.003,-0.0121,0.0002
1.31,2.22,-1.29,-2.05,-0.62,0.02,0.0131,0.0222,-0.0129,-0.0205,-0.0062,0.0002
1.48,-0.81,0.38,0.96,-0.07,0.02,0.0148,-0.0081,0.0038,0.0096,-0.0007,0.0002
0.11,-0.36,-0.04,0.11,-0.21,0.02,0.0011,-0.0036,-0.0004,0.0011,-0.0021,0.0002
-0.39,0.21,-0.42,-0.2,0.37,0.02,-0.0039,0.0021,-0.0042,-0.002,0.0037,0.0002
-1.34,-0.96,0.92,0.78,0,0.02,-0.0134,-0.0096,0.0092,0.0078,0,0.0002
-1,-2.14,1.9,2.68,0.87,0.02,-0.01,-0.0214,0.019,0.0268,0.0087,0.0002
-1.76,-1.44,1.67,1.57,0.67,0.02,-0.0176,-0.0144,0.0167,0.0157,0.0067,0.0002
1.19,0.32,0.01,-1.61,0.03,0.02,0.0119,0.0032,0.0001,-0.0161,0.0003,0.0002
-1.67,-3.42,2.16,4.4,2.18,0.024,-0.0167,-0.0342,0.0216,0.044,0.0218,0.00024
-1.2,-1.92,0.26,1.71,0.51,0.024,-0.012,-0.0192,0.0026,0.0171,0.0051,0.00024
0.01,1.55,-0.74,-1.08,0.14,0.024,0.0001,0.0155,-0.0074,-0.0108,0.0014,0.00024
1.47,1.41,-0.43,-1.65,0.82,0.024,0.0147,0.0141,-0.0043,-0.0165,0.0082,0.00024
1.42,1.26,-0.68,-0.95,-1.24,0.024,0.0142,0.0126,-0.0068,-0.0095,-0.0124,0.00024
-1.95,-2.65,2.18,3.27,1.1,0.024,-0.0195,-0.0265,0.0218,0.0327,0.011,0.00024
-1.01,-1.83,2.18,2.05,1.18,0.024,-0.0101,-0.0183,0.0218,0.0205,0.0118,0.00024
-2.97,-1.92,2.85,1.97,1.44,0.024,-0.0297,-0.0192,0.0285,0.0197,0.0144,0.00024
-1.8,0.05,0.95,0.35,0.77,0.024,-0.018,0.0005,0.0095,0.0035,0.0077,0.00024
-6.72,-1.12,2.07,2.91,0.8,0.024,-0.0672,-0.0112,0.0207,0.0291,0.008,0.00024
2.94,-2.5,-1.56,0.12,-2.03,0.024,0.0294,-0.025,-0.0156,0.0012,-0.0203,0.00024
3.84,2.82,-2.4,-2.88,-0.89,0.024,0.0384,0.0282,-0.024,-0.0288,-0.0089,0.00024
-0.8,1.67,0.11,-0.49,1,0.024,-0.008,0.0167,0.0011,-0.0049,0.01,0.00024
0.09,-0.9,1.04,0.67,0.45,0.024,0.0009,-0.009,0.0104,0.0067,0.0045,0.00024
-1.01,-1.98,1.14,2.25,1.39,0.024,-0.0101,-0.0198,0.0114,0.0225,0.0139,0.00024
3.74,0.19,-1.06,-2.02,-1.19,0.024,0.0374,0.0019,-0.0106,-0.0202,-0.0119,0.00024
-1.23,0.58,1.33,0.15,0.6,0.024,-0.0123,0.0058,0.0133,0.0015,0.006,0.00024
0.76,1.09,-0.77,-1.59,-1.21,0.024,0.0076,0.0109,-0.0077,-0.0159,-0.0121,0.00024
0.07,2.26,0.01,-1.98,-0.33,0.024,0.0007,0.0226,0.0001,-0.0198,-0.0033,0.00024
1.4,1.25,-1.21,-0.87,-0.52,0.023,0.014,0.0125,-0.0121,-0.0087,-0.0052,0.00023
-2.07,-0.54,1.93,1.38,0.78,0.023,-0.0207,-0.0054,0.0193,0.0138,0.0078,0.00023
-2.09,0.29,-0.46,0.67,0.34,0.023,-0.0209,0.0029,-0.0046,0.0067,0.0034,0.00023
0,0.97,-0.08,-1.08,0.27,0.023,0,0.0097,-0.0008,-0.0108,0.0027,0.00023
1.48,0.53,-0.67,-0.23,-0.23,0.023,0.0148,0.0053,-0.0067,-0.0023,-0.0023,0.00023
-0.98,-1.21,1.47,0.97,0.84,0.023,-0.0098,-0.0121,0.0147,0.0097,0.0084,0.00023
-1.19,-0.63,0.9,1.58,0.01,0.023,-0.0119,-0.0063,0.009,0.0158,0.0001,0.00023
-2.7,-0.8,0.87,1.38,1.04,0.023,-0.027,-0.008,0.0087,0.0138,0.0104,0.00023
2.08,0.33,-0.23,-0.96,-1.14,0.023,0.0208,0.0033,-0.0023,-0.0096,-0.0114,0.00023
0.81,-0.55,0.51,0.05,-0.05,0.023,0.0081,-0.0055,0.0051,0.0005,-0.0005,0.00023
2.13,-0.91,-0.79,-0.29,-0.45,0.023,0.0213,-0.0091,-0.0079,-0.0029,-0.0045,0.00023
1.3,0.01,-0.63,-1.21,-0.55,0.023,0.013,0.0001,-0.0063,-0.0121,-0.0055,0.00023
-1.38,0.43,0.73,0.29,0.36,0.023,-0.0138,0.0043,0.0073,0.0029,0.0036,0.00023
-1.09,-0.8,1.06,0.87,0.93,0.023,-0.0109,-0.008,0.0106,0.0087,0.0093,0.00023
-2.39,-0.02,0.88,0.81,0.55,0.023,-0.0239,-0.0002,0.0088,0.0081,0.0055,0.00023
-0.73,-1.17,-0.31,0.68,-0.16,0.023,-0.0073,-0.0117,-0.0031,0.0068,-0.0016,0.00023
-2.38,-0.35,1.39,2.1,0.92,0.023,-0.0238,-0.0035,0.0139,0.021,0.0092,0.00023
1.55,-1.67,-1.27,0.56,-1.06,0.023,0.0155,-0.0167,-0.0127,0.0056,-0.0106,0.00023
-1.29,0.35,0.11,0.09,-0.09,0.023,-0.0129,0.0035,0.0011,0.0009,-0.0009,0.00023
-0.18,0.19,-0.05,0.05,-0.08,0.023,-0.0018,0.0019,-0.0005,0.0005,-0.0008,0.00023
3.82,0.13,-2.25,-2.24,-1.46,0.023,0.0382,0.0013,-0.0225,-0.0224,-0.0146,0.00023
-0.22,0.23,0.54,-0.18,0.54,0.023,-0.0022,0.0023,0.0054,-0.0018,0.0054,0.00023
2.5,0.44,-1.64,-1.93,-0.85,0.018,0.025,0.0044,-0.0164,-0.0193,-0.0085,0.00018
2.91,1.18,-2.45,-2.72,-1.6,0.018,0.0291,0.0118,-0.0245,-0.0272,-0.016,0.00018
-0.37,1.22,-0.56,-1.09,0.46,0.018,-0.0037,0.0122,-0.0056,-0.0109,0.0046,0.00018
-0.87,0.78,0.18,-0.06,0.85,0.018,-0.0087,0.0078,0.0018,-0.0006,0.0085,0.00018
1.16,0.02,-0.76,-0.59,-0.77,0.018,0.0116,0.0002,-0.0076,-0.0059,-0.0077,0.00018
-0.6,0.61,0.17,-0.3,-0.12,0.018,-0.006,0.0061,0.0017,-0.003,-0.0012,0.00018
0.04,1.63,-0.07,-1.14,0.31,0.018,0.0004,0.0163,-0.0007,-0.0114,0.0031,0.00018
-1.19,-0.6,1.28,0.87,0.87,0.018,-0.0119,-0.006,0.0128,0.0087,0.0087,0.00018
1.45,-0.58,-0.99,0.28,-0.85,0.018,0.0145,-0.0058,-0.0099,0.0028,-0.0085,0.00018
-0.16,-0.25,0.35,1.17,0.02,0.018,-0.0016,-0.0025,0.0035,0.0117,0.0002,0.00018
0.5,-0.22,-1.23,-0.1,-0.38,0.018,0.005,-0.0022,-0.0123,-0.001,-0.0038,0.00018
-0.74,1.04,-0.19,-0.68,-0.04,0.018,-0.0074,0.0104,-0.0019,-0.0068,-0.0004,0.00018
1.66,-0.24,-1.27,-0.67,-0.28,0.018,0.0166,-0.0024,-0.0127,-0.0067,-0.0028,0.00018
-0.25,0.67,-0.51,-1.44,-0.18,0.018,-0.0025,0.0067,-0.0051,-0.0144,-0.0018,0.00018
0.36,0.42,-0.49,-0.63,-0.05,0.018,0.0036,0.0042,-0.0049,-0.0063,-0.0005,0.00018
-1.88,0.15,0.43,1.09,0.16,0.018,-0.0188,0.0015,0.0043,0.0109,0.0016,0.00018
-0.99,0.13,1.05,0.59,0.86,0.018,-0.0099,0.0013,0.0105,0.0059,0.0086,0.00018
0.92,1.12,-1.36,0.62,-0.93,0.018,0.0092,0.0112,-0.0136,0.0062,-0.0093,0.00018
-0.55,-0.33,0.77,0.81,-0.19,0.018,-0.0055,-0.0033,0.0077,0.0081,-0.0019,0.00018
0.77,1.61,-1.2,-0.74,-0.29,0.018,0.0077,0.0161,-0.012,-0.0074,-0.0029,0.00018
-0.67,0.19,0.62,0.61,1.18,0.018,-0.0067,0.0019,0.0062,0.0061,0.0118,0.00018
0.74,0.94,-1.56,-0.2,-1.46,0.018,0.0074,0.0094,-0.0156,-0.002,-0.0146,0.00018
0.91,-0.27,0.83,-0.07,0.27,0.024,0.0091,-0.0027,0.0083,-0.0007,0.0027,0.00024
-1.6,0.53,1.85,0.57,1.32,0.024,-0.016,0.0053,0.0185,0.0057,0.0132,0.00024
0.87,-0.05,-0.15,-0.28,-0.88,0.024,0.0087,-0.0005,-0.0015,-0.0028,-0.0088,0.00024
1.46,-0.91,-0.81,0.13,-0.45,0.024,0.0146,-0.0091,-0.0081,0.0013,-0.0045,0.00024
