Mkt-RF_percent,SMB_percent,HML_percent,RMW_percent,CMA_percent,RF_percent,Mkt-RF,SMB,HML,RMW,CMA,RF
-0.0274,-0.0222,0.0049,0.0369,-0.0217,0.0082,-2.74,-2.22,0.49,3.69,-2.17,0.82
0.1028,-0.003,-0.0185,-0.0089,-0.0081,0.0083,10.28,-0.3,-1.85,-0.89,-0.81,0.83
-0.008,0,0.0532,0.014,0.0253,0.0086,-0.8,0,5.32,1.4,2.53,0.86
-0.0084,-0.0143,0.0051,0.0117,-0.0116,0.01,-0.84,-1.43,0.51,1.17,-1.16,1
-0.0176,-0.0098,0.0408,0.0081,0.0208,0.0073,-1.76,-0.98,4.08,0.81,2.08,0.73
0.0184,-0.0069,-0.0017,0.0121,-0.0126,0.0064,1.84,-0.69,-0.17,1.21,-1.26,0.64
0.0799,0.0349,-0.0543,-0.0083,-0.0336,0.0065,7.99,3.49,-5.43,-0.83,-3.36,0.65
0.0122,0.01,-0.0012,0.0126,0.0103,0.0058,1.22,1,-0.12,1.26,1.03,0.58
-0.0084,-0.0148,0.041,0.0118,0.0294,0.0062,-0.84,-1.48,4.1,1.18,2.94,0.62
-0.0096,-0.001,0.0373,0.0159,0.0071,0.0072,-0.96,-0.1,3.73,1.59,0.71,0.72
0.0509,-0.0233,-0.0086,0.013,-0.0139,0.0066,5.09,-2.33,-0.86,1.3,-1.39,0.66
0.0127,0.0031,0.004,0.0173,-0.0059,0.0055,1.27,0.31,0.4,1.73,-0.59,0.55
-0.0074,0.0289,-0.0163,-0.0045,-0.0031,0.0062,-0.74,2.89,-1.63,-0.45,-0.31,0.62
-0.0102,-0.0032,0.0228,-0.0004,0.0188,0.0055,-1.02,-0.32,2.28,-0.04,1.88,0.55
-0.0454,-0.0181,0.0132,0.0116,0.0161,0.006,-4.54,-1.81,1.32,1.16,1.61,0.6
0.0402,-0.0155,0.0078,0.0092,-0.0111,0.0065,4.02,-1.55,0.78,0.92,-1.11,0.65
0.0648,0,-0.0287,0.0029,-0.0233,0.0061,6.48,0,-2.87,0.29,-2.33,0.61
0.0388,-0.0039,-0.0153,0.0097,-0.018,0.0065,3.88,-0.39,-1.53,0.97,-1.8,0.65
0.0065,0.0101,0.0053,-0.0202,-0.0205,0.0056,0.65,1.01,0.53,-2.02,-2.05,0.56
0.0713,-0.0076,-0.0094,0.0115,-0.0139,0.0053,7.13,-0.76,-0.94,1.15,-1.39,0.53
0.0488,-0.0057,-0.0044,0.0112,0.0099,0.006,4.88,-0.57,-0.44,1.12,0.99,0.6
-0.0131,0.0292,-0.0285,0.0291,0.0002,0.0052,-1.31,2.92,-2.85,2.91,0.02,0.52
0.0462,-0.0126,-0.0011,0.0208,0.0111,0.0049,4.62,-1.26,-0.11,2.08,1.11,0.49
0.0103,-0.0087,0.014,0.0183,0.0087,0.0052,1.03,-0.87,1.4,1.83,0.87,0.52
-0.0645,-0.0354,0.0478,-0.0057,0.0061,0.0052,-6.45,-3.54,4.78,-0.57,0.61,0.52
0.0607,-0.0436,0.0352,-0.0174,0.0324,0.0046,6.07,-4.36,3.52,-1.74,3.24,0.46
-0.086,0.0197,0.0319,-0.0005,0.0362,0.0045,-8.6,1.97,3.19,-0.05,3.62,0.45
0.0466,-0.0233,-0.0132,0.0013,0.0089,0.0046,4.66,-2.33,-1.32,0.13,0.89,0.46
0.0117,-0.0188,-0.0006,0.0112,0.0061,0.0039,1.17,-1.88,-0.06,1.12,0.61,0.39
-0.0327,0.0007,0.0037,0.0083,-0.0003,0.0049,-3.27,0.07,0.37,0.83,-0.03,0.49
0.1247,-0.0151,-0.0318,0.002,-0.0109,0.0042,12.47,-1.51,-3.18,0.2,-1.09,0.42
0.0439,0.0341,-0.0599,-0.009,-0.0276,0.0043,4.39,3.41,-5.99,-0.9,-2.76,0.43
0.0164,0.0021,0.0166,0.0136,0.0403,0.0047,1.64,0.21,1.66,1.36,4.03,0.47
-0.0211,-0.0155,-0.0033,-0.0046,0.0122,0.0044,-2.11,-1.55,-0.33,-0.46,1.22,0.44
0.0011,-0.0059,0.0013,0.0052,0.0132,0.0038,0.11,-0.59,0.13,0.52,1.32,0.38
0.0394,-0.0229,0.0107,0.0173,0.0083,0.0048,3.94,-2.29,1.07,1.73,0.83,0.48
0.0385,-0.0111,0.0066,-0.005,0.0156,0.0046,3.85,-1.11,0.66,-0.5,1.56,0.46
0.0352,-0.009,-0.009,0.0203,-0.0159,0.0047,3.52,-0.9,-0.9,2.03,-1.59,0.47
-0.0259,0.0037,0.0028,-0.009,0.0189,0.0045,-2.59,0.37,0.28,-0.9,1.89,0.45
-0.2324,-0.0809,0.0423,0.0201,0.0239,0.006,-23.24,-8.09,4.23,2.01,2.39,0.6
-0.0777,0.0283,0.0314,-0.0192,0.0071,0.0035,-7.77,2.83,3.14,-1.92,0.71,0.35
0.0681,0.0009,-0.0449,0.0301,-0.0236,0.0039,6.81,0.09,-4.49,3.01,-2.36,0.39
0.0421,-0.0054,0.0508,-0.0112,0.0209,0.0029,4.21,-0.54,5.08,-1.12,2.09,0.29
0.0475,0.0332,-0.0165,0.0156,-0.0011,0.0046,4.75,3.32,-1.65,1.56,-0.11,0.46
-0.0227,0.0626,0.0074,-0.0016,0.0191,0.0044,-2.27,6.26,0.74,-0.16,1.91,0.44
0.0056,0.0112,0.0169,-0.0023,0.019,0.0046,0.56,1.12,1.69,-0.23,1.9,0.46
-0.0029,-0.0259,0.023,-0.007,0.0038,0.0051,-0.29,-2.59,2.3,-0.7,0.38,0.51
0.0479,0.0219,-0.0107,0.0142,-0.0325,0.0049,4.79,2.19,-1.07,1.42,-3.25,0.49
-0.0125,-0.0017,0.0227,-0.0059,0.0145,0.0051,-1.25,-0.17,2.27,-0.59,1.45,0.51
-0.0331,-0.0002,0.0203,-0.0076,0.0174,0.0059,-3.31,-0.02,2.03,-0.76,1.74,0.59
0.033,-0.0131,-0.0068,0.0172,-0.0048,0.0062,3.3,-1.31,-0.68,1.72,-0.48,0.62
0.0115,-0.0295,0.0171,0.014,0.0104,0.0061,1.15,-2.95,1.71,1.4,1.04,0.61
-0.0229,-0.0166,0.0124,-0.0031,0.016,0.0057,-2.29,-1.66,1.24,-0.31,1.6,0.57
0.0149,0.0201,-0.0155,0.0064,-0.0037,0.0063,1.49,2.01,-1.55,0.64,-0.37,0.63
0.061,-0.0223,0.0051,-0.0103,0.0016,0.0055,6.1,-2.23,0.51,-1.03,0.16,0.55
-0.0225,0.0267,0.0087,-0.0082,0.0189,0.0061,-2.25,2.67,0.87,-0.82,1.89,0.61
0.0157,0.0076,0.0046,0.0001,0.0079,0.0067,1.57,0.76,0.46,0.01,0.79,0.67
0.0433,-0.007,-0.0145,0.0076,-0.0054,0.0067,4.33,-0.7,-1.45,0.76,-0.54,0.67
0.0335,-0.0001,-0.0082,0.0049,-0.0004,0.0079,3.35,-0.01,-0.82,0.49,-0.04,0.79
-0.0135,-0.0108,0.0219,0.0024,0.0152,0.0071,-1.35,-1.08,2.19,0.24,1.52,0.71
0.072,-0.0404,-0.0284,0.0199,-0.0062,0.007,7.2,-4.04,-2.84,1.99,-0.62,0.7
0.0144,0.0043,0.0072,0.0041,-0.005,0.0074,1.44,0.43,0.72,0.41,-0.5,0.74
-0.0076,0.0046,-0.0134,0.014,0.0059,0.0065,-0.76,0.46,-1.34,1.4,0.59,0.65
-0.0367,-0.0333,-0.0103,0,0.0002,0.0068,-3.67,-3.33,-1.03,0,0.02,0.68
0.0103,-0.013,-0.0112,-0.0091,0.0147,0.0069,1.03,-1.3,-1.12,-0.91,1.47,0.69
0.0116,-0.023,0.0028,-0.001,0.0145,0.0061,1.16,-2.3,0.28,-0.1,1.45,0.61
-0.0785,-0.0133,0.0087,-0.0113,0.0132,0.0057,-7.85,-1.33,0.87,-1.13,1.32,0.57
0.0111,0.0118,0.0061,-0.0019,-0.0064,0.0057,1.11,1.18,0.61,-0.19,-0.64,0.57
0.0183,0.0164,-0.029,0.0215,-0.0102,0.0064,1.83,1.64,-2.9,2.15,-1.02,0.64
-0.0336,-0.004,-0.0255,0.0172,-0.0098,0.0069,-3.36,-0.4,-2.55,1.72,-0.98,0.69
0.0842,-0.024,-0.0374,0.0165,-0.0157,0.0068,8.42,-2.4,-3.74,1.65,-1.57,0.68
-0.0109,0.0138,-0.0194,-0.01,-0.0034,0.0063,-1.09,1.38,-1.94,-1,-0.34,0.63
-0.019,-0.0327,-0.0001,-0.0027,0.031,0.0068,-1.9,-3.27,-0.01,-0.27,3.1,0.68
-0.1015,-0.0385,0.0158,-0.0043,0.0299,0.0066,-10.15,-3.85,1.58,-0.43,2.99,0.66
-0.0612,-0.0378,0.0073,-0.0016,0.0371,0.006,-6.12,-3.78,0.73,-0.16,3.71,0.6
-0.0192,-0.0507,0.0022,0.0287,-0.0049,0.0068,-1.92,-5.07,0.22,2.87,-0.49,0.68
0.0635,-0.0006,-0.0316,0.0082,-0.0475,0.0057,6.35,-0.06,-3.16,0.82,-4.75,0.57
0.0246,0.0061,-0.0154,0.0286,-0.02,0.006,2.46,0.61,-1.54,2.86,-2,0.6
0.0469,0.0386,-0.0184,0.0155,-0.0408,0.0052,4.69,3.86,-1.84,1.55,-4.08,0.52
0.0719,0.0396,-0.0054,-0.0027,-0.0016,0.0048,7.19,3.96,-0.54,-0.27,-0.16,0.48
0.0265,0.0382,-0.0123,-0.0039,-0.0099,0.0044,2.65,3.82,-1.23,-0.39,-0.99,0.44
-0.0028,0.0033,0.0142,0.0053,0.0071,0.0053,-0.28,0.33,1.42,0.53,0.71,0.53
0.0365,0.0017,-0.0057,0.0211,-0.0245,0.0047,3.65,0.17,-0.57,2.11,-2.45,0.47
-0.0494,0.0017,0.0121,0.0175,0.0063,0.0042,-4.94,0.17,1.21,1.75,0.63,0.42
0.0424,-0.0096,-0.0125,0.0161,-0.0141,0.0049,4.24,-0.96,-1.25,1.61,-1.41,0.49
0.0232,0.0144,-0.0078,0.0088,-0.0055,0.0046,2.32,1.44,-0.78,0.88,-0.55,0.46
-0.0159,0.0155,-0.01,-0.0181,0.0016,0.0046,-1.59,1.55,-1,-1.81,0.16,0.46
0.0129,0.0095,-0.0043,-0.0173,-0.0029,0.0042,1.29,0.95,-0.43,-1.73,-0.29,0.42
-0.0419,-0.0087,-0.0193,0.0108,0.0012,0.0039,-4.19,-0.87,-1.93,1.08,0.12,0.39
0.1084,-0.0242,-0.0403,0.0358,-0.0312,0.0038,10.84,-2.42,-4.03,3.58,-3.12,0.38
